ncores,repetition,iteration,time
1,1,1,3.5648584365844727
1,1,2,4.656202793121338
1,1,3,5.651275634765625
1,1,4,5.13512110710144
1,1,5,5.635841369628906
1,1,6,5.825103044509888
1,1,7,5.581540107727051
1,1,8,5.040210485458374
1,1,9,5.528932809829712
1,1,10,6.047931909561157
1,2,1,3.3805768489837646
1,2,2,4.594061374664307
1,2,3,5.5433030128479
1,2,4,5.126410722732544
1,2,5,5.53836727142334
1,2,6,5.579808950424194
1,2,7,5.598759174346924
1,2,8,5.047328948974609
1,2,9,5.49921989440918
1,2,10,5.668975830078125
1,3,1,3.5668087005615234
1,3,2,4.299537181854248
1,3,3,5.5374016761779785
1,3,4,5.145238161087036
1,3,5,5.550477504730225
1,3,6,5.621705770492554
1,3,7,5.659153699874878
1,3,8,5.159239768981934
1,3,9,5.505228519439697
1,3,10,5.575960636138916
1,4,1,3.362616539001465
1,4,2,4.222007751464844
1,4,3,5.569295883178711
1,4,4,5.100353240966797
1,4,5,5.5444536209106445
1,4,6,5.625966310501099
1,4,7,5.553533554077148
1,4,8,5.069621324539185
1,4,9,5.516790151596069
1,4,10,5.614920139312744
1,5,1,3.3598666191101074
1,5,2,4.296633005142212
1,5,3,5.57927393913269
1,5,4,5.134148359298706
1,5,5,5.5857861042022705
1,5,6,5.655503034591675
1,5,7,5.58445405960083
1,5,8,5.087806224822998
1,5,9,5.61221981048584
1,5,10,5.585432767868042
1,6,1,3.335894823074341
1,6,2,4.807615518569946
1,6,3,6.1277525424957275
1,6,4,5.138377904891968
1,6,5,5.499573230743408
1,6,6,5.826583385467529
1,6,7,5.822925329208374
1,6,8,5.103193998336792
1,6,9,5.5388195514678955
1,6,10,5.601646423339844
1,7,1,3.3551621437072754
1,7,2,4.377227067947388
1,7,3,5.740617990493774
1,7,4,5.301079511642456
1,7,5,5.510807514190674
1,7,6,5.591574430465698
1,7,7,5.590252637863159
1,7,8,5.080384254455566
1,7,9,5.5195536613464355
1,7,10,5.919692039489746
1,8,1,3.3646984100341797
1,8,2,4.451460838317871
1,8,3,5.6239776611328125
1,8,4,5.130390405654907
1,8,5,5.539525985717773
1,8,6,5.625779628753662
1,8,7,5.6176979541778564
1,8,8,5.0744781494140625
1,8,9,5.529843091964722
1,8,10,5.626368761062622
1,9,1,3.402862787246704
1,9,2,4.258885622024536
1,9,3,5.536883115768433
1,9,4,5.153041839599609
1,9,5,5.655720233917236
1,9,6,5.743783712387085
1,9,7,5.557214975357056
1,9,8,5.065981149673462
1,9,9,5.499164581298828
1,9,10,5.646380186080933
1,10,1,3.351438045501709
1,10,2,4.306939363479614
1,10,3,5.564653635025024
1,10,4,5.231219291687012
1,10,5,5.6447930335998535
1,10,6,5.5944883823394775
1,10,7,5.83728814125061
1,10,8,5.044440507888794
1,10,9,5.831254720687866
1,10,10,5.571813583374023
2,1,1,2.4071621894836426
2,1,2,3.1091082096099854
2,1,3,3.4953975677490234
2,1,4,3.5541765689849854
2,1,5,3.474003314971924
2,1,6,3.545454978942871
2,1,7,3.533782720565796
2,1,8,3.5245749950408936
2,1,9,3.4619908332824707
2,1,10,3.5377368927001953
2,2,1,2.4107024669647217
2,2,2,3.0957653522491455
2,2,3,3.4901034832000732
2,2,4,3.5419788360595703
2,2,5,3.4691855907440186
2,2,6,3.5480406284332275
2,2,7,3.534343719482422
2,2,8,3.5346949100494385
2,2,9,3.4721124172210693
2,2,10,3.5437800884246826
2,3,1,2.4146268367767334
2,3,2,3.1095705032348633
2,3,3,3.4928524494171143
2,3,4,3.536769390106201
2,3,5,3.4672975540161133
2,3,6,3.5363681316375732
2,3,7,3.5072243213653564
2,3,8,3.5174455642700195
2,3,9,3.4604456424713135
2,3,10,3.544563055038452
2,4,1,2.4107894897460938
2,4,2,3.1029739379882812
2,4,3,3.477635383605957
2,4,4,3.519904375076294
2,4,5,3.464319944381714
2,4,6,3.5361227989196777
2,4,7,3.5153586864471436
2,4,8,3.517282724380493
2,4,9,3.4530622959136963
2,4,10,3.5467655658721924
2,5,1,2.427175760269165
2,5,2,3.1007285118103027
2,5,3,3.4871103763580322
2,5,4,3.5355732440948486
2,5,5,3.4617371559143066
2,5,6,3.5368123054504395
2,5,7,3.530351400375366
2,5,8,3.5100350379943848
2,5,9,3.4651901721954346
2,5,10,3.5600719451904297
2,6,1,2.4031383991241455
2,6,2,3.1033642292022705
2,6,3,3.488630533218384
2,6,4,3.525906562805176
2,6,5,3.471691846847534
2,6,6,3.5325706005096436
2,6,7,3.509439468383789
2,6,8,3.510896921157837
2,6,9,3.471522808074951
2,6,10,3.518876075744629
2,7,1,2.4362752437591553
2,7,2,3.1071174144744873
2,7,3,3.499462366104126
2,7,4,3.543684720993042
2,7,5,3.4654312133789062
2,7,6,3.5405726432800293
2,7,7,3.5220253467559814
2,7,8,3.5111804008483887
2,7,9,3.460432529449463
2,7,10,3.5296506881713867
2,8,1,2.4145896434783936
2,8,2,3.1114273071289062
2,8,3,3.489405632019043
2,8,4,3.614915609359741
2,8,5,3.455200672149658
2,8,6,3.5430781841278076
2,8,7,3.5385804176330566
2,8,8,3.5127029418945312
2,8,9,3.4621310234069824
2,8,10,3.540710926055908
2,9,1,2.4148294925689697
2,9,2,3.136563539505005
2,9,3,3.508944511413574
2,9,4,3.559122085571289
2,9,5,3.4729745388031006
2,9,6,3.534574508666992
2,9,7,3.522096633911133
2,9,8,3.5132880210876465
2,9,9,3.4515345096588135
2,9,10,3.5336172580718994
2,10,1,2.4225752353668213
2,10,2,3.11017107963562
2,10,3,3.4847512245178223
2,10,4,3.5418710708618164
2,10,5,3.4751076698303223
2,10,6,3.5376434326171875
2,10,7,3.527578115463257
2,10,8,3.526594638824463
2,10,9,3.464365005493164
2,10,10,3.5249364376068115
3,1,1,2.299337863922119
3,1,2,2.7601494789123535
3,1,3,3.0028762817382812
3,1,4,3.034470796585083
3,1,5,2.9906108379364014
3,1,6,3.0534636974334717
3,1,7,3.0232760906219482
3,1,8,3.0148544311523438
3,1,9,2.9758622646331787
3,1,10,3.040992259979248
3,2,1,2.278360605239868
3,2,2,2.752981185913086
3,2,3,2.9823622703552246
3,2,4,3.034903049468994
3,2,5,2.9772891998291016
3,2,6,3.0343401432037354
3,2,7,3.0196852684020996
3,2,8,3.0188918113708496
3,2,9,2.9696953296661377
3,2,10,3.028435707092285
3,3,1,2.2862770557403564
3,3,2,2.7380926609039307
3,3,3,2.9975881576538086
3,3,4,3.0251264572143555
3,3,5,2.9645867347717285
3,3,6,3.0207836627960205
3,3,7,3.0187041759490967
3,3,8,3.017178773880005
3,3,9,2.9627482891082764
3,3,10,3.0372424125671387
3,4,1,2.281467914581299
3,4,2,2.746702194213867
3,4,3,2.9980597496032715
3,4,4,3.027639389038086
3,4,5,2.9709131717681885
3,4,6,3.0418877601623535
3,4,7,3.0214877128601074
3,4,8,3.0196292400360107
3,4,9,2.9800660610198975
3,4,10,3.035315752029419
3,5,1,2.2857322692871094
3,5,2,2.7435925006866455
3,5,3,2.991021156311035
3,5,4,3.046525716781616
3,5,5,2.9760849475860596
3,5,6,3.0150041580200195
3,5,7,3.015733480453491
3,5,8,3.0096356868743896
3,5,9,2.97054123878479
3,5,10,3.0328941345214844
3,6,1,2.287957191467285
3,6,2,2.7571091651916504
3,6,3,2.9985227584838867
3,6,4,3.032620429992676
3,6,5,2.969367504119873
3,6,6,3.0429937839508057
3,6,7,3.0184268951416016
3,6,8,3.015915870666504
3,6,9,2.965308666229248
3,6,10,3.0446114540100098
3,7,1,2.2860782146453857
3,7,2,2.74462890625
3,7,3,3.0002989768981934
3,7,4,3.029660701751709
3,7,5,2.970705509185791
3,7,6,3.0241293907165527
3,7,7,3.0249216556549072
3,7,8,3.035677909851074
3,7,9,2.988476037979126
3,7,10,3.0379421710968018
3,8,1,2.289966583251953
3,8,2,2.748436450958252
3,8,3,2.9876108169555664
3,8,4,3.0417463779449463
3,8,5,2.9757680892944336
3,8,6,3.0281002521514893
3,8,7,3.008852005004883
3,8,8,3.018526077270508
3,8,9,2.9811928272247314
3,8,10,3.0339138507843018
3,9,1,2.282715320587158
3,9,2,2.744277238845825
3,9,3,2.9897453784942627
3,9,4,3.034778356552124
3,9,5,2.9771018028259277
3,9,6,3.028078556060791
3,9,7,3.019291639328003
3,9,8,3.024643898010254
3,9,9,2.9718987941741943
3,9,10,3.0221691131591797
3,10,1,2.2879247665405273
3,10,2,2.7457375526428223
3,10,3,2.9914307594299316
3,10,4,3.0332014560699463
3,10,5,2.9653584957122803
3,10,6,3.0343778133392334
3,10,7,3.0139782428741455
3,10,8,3.0176801681518555
3,10,9,2.966423988342285
3,10,10,3.034345865249634
4,1,1,2.2286298274993896
4,1,2,2.569676160812378
4,1,3,2.771008253097534
4,1,4,2.797334671020508
4,1,5,2.766735076904297
4,1,6,2.802056074142456
4,1,7,2.781430244445801
4,1,8,2.7815849781036377
4,1,9,2.7484729290008545
4,1,10,2.8157296180725098
4,2,1,2.235346794128418
4,2,2,2.5616466999053955
4,2,3,2.7579593658447266
4,2,4,2.7862417697906494
4,2,5,2.757445812225342
4,2,6,2.7935400009155273
4,2,7,2.781053066253662
4,2,8,2.7808494567871094
4,2,9,2.7507407665252686
4,2,10,2.793931007385254
4,3,1,2.2373428344726562
4,3,2,2.5707335472106934
4,3,3,2.766587257385254
4,3,4,2.786038875579834
4,3,5,2.754290819168091
4,3,6,2.8076205253601074
4,3,7,2.7906296253204346
4,3,8,2.7862138748168945
4,3,9,2.7437283992767334
4,3,10,2.793412446975708
4,4,1,2.231992244720459
4,4,2,2.5627660751342773
4,4,3,2.7778477668762207
4,4,4,2.7882180213928223
4,4,5,2.7580387592315674
4,4,6,2.797954559326172
4,4,7,2.787257671356201
4,4,8,2.780548572540283
4,4,9,2.742582082748413
4,4,10,2.8033668994903564
4,5,1,2.2445287704467773
4,5,2,2.564662218093872
4,5,3,2.7662339210510254
4,5,4,2.7898690700531006
4,5,5,2.754913091659546
4,5,6,2.7996745109558105
4,5,7,2.787067174911499
4,5,8,2.781735420227051
4,5,9,2.743483543395996
4,5,10,2.783740997314453
4,6,1,2.235109567642212
4,6,2,2.580510139465332
4,6,3,2.767502546310425
4,6,4,2.7987263202667236
4,6,5,2.745487928390503
4,6,6,2.8032844066619873
4,6,7,2.7760846614837646
4,6,8,2.7920594215393066
4,6,9,2.7437551021575928
4,6,10,2.7909505367279053
4,7,1,2.2376155853271484
4,7,2,2.5629260540008545
4,7,3,2.764657497406006
4,7,4,2.7898290157318115
4,7,5,2.7470364570617676
4,7,6,2.79394793510437
4,7,7,2.7841336727142334
4,7,8,2.7774527072906494
4,7,9,2.7439215183258057
4,7,10,2.790938138961792
4,8,1,2.2340502738952637
4,8,2,2.564563274383545
4,8,3,2.76019549369812
4,8,4,2.787937879562378
4,8,5,2.753187894821167
4,8,6,2.799978494644165
4,8,7,2.782285213470459
4,8,8,2.787400007247925
4,8,9,2.738276958465576
4,8,10,2.7961244583129883
4,9,1,2.2311699390411377
4,9,2,2.571284770965576
4,9,3,2.7597508430480957
4,9,4,2.797257423400879
4,9,5,2.7542264461517334
4,9,6,2.8017690181732178
4,9,7,2.7882144451141357
4,9,8,2.7844340801239014
4,9,9,2.745072364807129
4,9,10,2.7901740074157715
4,10,1,2.228658437728882
4,10,2,2.5637755393981934
4,10,3,2.768791675567627
4,10,4,2.8015389442443848
4,10,5,2.7590978145599365
4,10,6,2.791718006134033
4,10,7,2.785857677459717
4,10,8,2.7907700538635254
4,10,9,2.745327949523926
4,10,10,2.7878565788269043
5,1,1,2.2382426261901855
5,1,2,2.482105016708374
5,1,3,2.6518068313598633
5,1,4,2.672996997833252
5,1,5,2.633664608001709
5,1,6,2.6762163639068604
5,1,7,2.655637502670288
5,1,8,2.658271312713623
5,1,9,2.62215518951416
5,1,10,2.663175106048584
5,2,1,2.216381072998047
5,2,2,2.489978790283203
5,2,3,2.6331558227539062
5,2,4,2.655277967453003
5,2,5,2.640974998474121
5,2,6,2.6545491218566895
5,2,7,2.6537489891052246
5,2,8,2.647151231765747
5,2,9,2.612703800201416
5,2,10,2.657727003097534
5,3,1,2.216155767440796
5,3,2,2.482912540435791
5,3,3,2.6353046894073486
5,3,4,2.6583802700042725
5,3,5,2.6269588470458984
5,3,6,2.664793014526367
5,3,7,2.660287618637085
5,3,8,2.6525938510894775
5,3,9,2.625838041305542
5,3,10,2.666081190109253
5,4,1,2.2075531482696533
5,4,2,2.4792892932891846
5,4,3,2.6535208225250244
5,4,4,2.6676156520843506
5,4,5,2.6362123489379883
5,4,6,2.661608934402466
5,4,7,2.662806510925293
5,4,8,2.648099422454834
5,4,9,2.62676739692688
5,4,10,2.6653804779052734
5,5,1,2.210148572921753
5,5,2,2.479982614517212
5,5,3,2.641395092010498
5,5,4,2.667807102203369
5,5,5,2.631971836090088
5,5,6,2.6645047664642334
5,5,7,2.6615712642669678
5,5,8,2.6559834480285645
5,5,9,2.627561092376709
5,5,10,2.6690499782562256
5,6,1,2.235795259475708
5,6,2,2.4679598808288574
5,6,3,2.6376500129699707
5,6,4,2.6722869873046875
5,6,5,2.6210083961486816
5,6,6,2.665581464767456
5,6,7,2.6816213130950928
5,6,8,2.658282518386841
5,6,9,2.6130754947662354
5,6,10,2.6579391956329346
5,7,1,2.214547634124756
5,7,2,2.4768178462982178
5,7,3,2.6383605003356934
5,7,4,2.6641674041748047
5,7,5,2.6268293857574463
5,7,6,2.6728549003601074
5,7,7,2.658898115158081
5,7,8,2.6599807739257812
5,7,9,2.61942982673645
5,7,10,2.6694302558898926
5,8,1,2.213771343231201
5,8,2,2.47202467918396
5,8,3,2.639282464981079
5,8,4,2.663444757461548
5,8,5,2.6234426498413086
5,8,6,2.659061908721924
5,8,7,2.65710711479187
5,8,8,2.6585631370544434
5,8,9,2.6244983673095703
5,8,10,2.676574468612671
5,9,1,2.2246921062469482
5,9,2,2.474626064300537
5,9,3,2.635582208633423
5,9,4,2.6600875854492188
5,9,5,2.6309471130371094
5,9,6,2.6599302291870117
5,9,7,2.662871837615967
5,9,8,2.6427102088928223
5,9,9,2.6183719635009766
5,9,10,2.658424139022827
5,10,1,2.2366397380828857
5,10,2,2.469315528869629
5,10,3,2.6361989974975586
5,10,4,2.661942481994629
5,10,5,2.627387046813965
5,10,6,2.657665491104126
5,10,7,2.656165838241577
5,10,8,2.6483919620513916
5,10,9,2.616722822189331
5,10,10,2.6570587158203125
6,1,1,2.230836868286133
6,1,2,2.4447765350341797
6,1,3,2.585106611251831
6,1,4,2.5959339141845703
6,1,5,2.563934803009033
6,1,6,2.594200611114502
6,1,7,2.6027326583862305
6,1,8,2.5861992835998535
6,1,9,2.5509212017059326
6,1,10,2.5897161960601807
6,2,1,2.21506667137146
6,2,2,2.4389281272888184
6,2,3,2.562593460083008
6,2,4,2.600661277770996
6,2,5,2.5510201454162598
6,2,6,2.5854718685150146
6,2,7,2.5855753421783447
6,2,8,2.580305337905884
6,2,9,2.5548973083496094
6,2,10,2.5881783962249756
6,3,1,2.2337050437927246
6,3,2,2.4698987007141113
6,3,3,2.5635743141174316
6,3,4,2.5815887451171875
6,3,5,2.562417984008789
6,3,6,2.5875587463378906
6,3,7,2.58803129196167
6,3,8,2.570420980453491
6,3,9,2.559523582458496
6,3,10,2.5927419662475586
6,4,1,2.2089130878448486
6,4,2,2.437185049057007
6,4,3,2.5605714321136475
6,4,4,2.5822629928588867
6,4,5,2.557347536087036
6,4,6,2.588512659072876
6,4,7,2.589343547821045
6,4,8,2.6067616939544678
6,4,9,2.5489323139190674
6,4,10,2.5828287601470947
6,5,1,2.2178194522857666
6,5,2,2.4262614250183105
6,5,3,2.567864179611206
6,5,4,2.5872559547424316
6,5,5,2.5487515926361084
6,5,6,2.5838496685028076
6,5,7,2.5680344104766846
6,5,8,2.5683469772338867
6,5,9,2.5600485801696777
6,5,10,2.582627058029175
6,6,1,2.222890853881836
6,6,2,2.4432730674743652
6,6,3,2.5710654258728027
6,6,4,2.589501142501831
6,6,5,2.552828550338745
6,6,6,2.586446523666382
6,6,7,2.5860536098480225
6,6,8,2.573295831680298
6,6,9,2.546985149383545
6,6,10,2.584620237350464
6,7,1,2.223060369491577
6,7,2,2.4239730834960938
6,7,3,2.562173366546631
6,7,4,2.582913398742676
6,7,5,2.552145481109619
6,7,6,2.597496271133423
6,7,7,2.5828840732574463
6,7,8,2.576812267303467
6,7,9,2.553101062774658
6,7,10,2.5827672481536865
6,8,1,2.2196154594421387
6,8,2,2.439303159713745
6,8,3,2.562605142593384
6,8,4,2.588641881942749
6,8,5,2.5518457889556885
6,8,6,2.5932095050811768
6,8,7,2.5695552825927734
6,8,8,2.565523862838745
6,8,9,2.548906087875366
6,8,10,2.6072494983673096
6,9,1,2.2205464839935303
6,9,2,2.443720817565918
6,9,3,2.55714750289917
6,9,4,2.605597496032715
6,9,5,2.549306869506836
6,9,6,2.5918776988983154
6,9,7,2.5940041542053223
6,9,8,2.5761945247650146
6,9,9,2.553143262863159
6,9,10,2.593980312347412
6,10,1,2.221092700958252
6,10,2,2.4352524280548096
6,10,3,2.5657002925872803
6,10,4,2.603839635848999
6,10,5,2.5655949115753174
6,10,6,2.597780227661133
6,10,7,2.591367244720459
6,10,8,2.5684564113616943
6,10,9,2.544170379638672
6,10,10,2.5879569053649902
7,1,1,2.6892006397247314
7,1,2,2.947998285293579
7,1,3,3.1413896083831787
7,1,4,3.1695945262908936
7,1,5,2.8372156620025635
7,1,6,3.223318576812744
7,1,7,3.169013738632202
7,1,8,3.163069009780884
7,1,9,3.106706380844116
7,1,10,3.179478168487549
7,2,1,2.6757688522338867
7,2,2,2.955573320388794
7,2,3,3.16668963432312
7,2,4,3.1532034873962402
7,2,5,3.139467477798462
7,2,6,3.1880266666412354
7,2,7,3.184612989425659
7,2,8,3.1598713397979736
7,2,9,3.170161485671997
7,2,10,3.1820428371429443
7,3,1,2.6675469875335693
7,3,2,2.947969913482666
7,3,3,3.136502981185913
7,3,4,3.1725993156433105
7,3,5,3.1291556358337402
7,3,6,3.2092232704162598
7,3,7,3.1840436458587646
7,3,8,3.191572904586792
7,3,9,3.1616289615631104
7,3,10,3.1835014820098877
7,4,1,2.666710376739502
7,4,2,2.971872329711914
7,4,3,3.13415789604187
7,4,4,3.204744338989258
7,4,5,3.1430606842041016
7,4,6,3.1657721996307373
7,4,7,3.1914122104644775
7,4,8,3.168015241622925
7,4,9,3.132633924484253
7,4,10,3.1573822498321533
7,5,1,2.6613545417785645
7,5,2,2.9803998470306396
7,5,3,3.1401350498199463
7,5,4,3.1831753253936768
7,5,5,2.7945001125335693
7,5,6,3.1984052658081055
7,5,7,3.1760880947113037
7,5,8,3.188065528869629
7,5,9,3.1299548149108887
7,5,10,3.1712377071380615
7,6,1,2.6707634925842285
7,6,2,2.9575860500335693
7,6,3,3.1581640243530273
7,6,4,3.1642632484436035
7,6,5,3.140807867050171
7,6,6,3.186952590942383
7,6,7,3.1751880645751953
7,6,8,3.176994562149048
7,6,9,3.111405849456787
7,6,10,3.1724324226379395
7,7,1,2.686995506286621
7,7,2,2.983774423599243
7,7,3,3.17046856880188
7,7,4,3.198411226272583
7,7,5,3.1615524291992188
7,7,6,3.1919264793395996
7,7,7,3.1676933765411377
7,7,8,3.1775362491607666
7,7,9,3.1465535163879395
7,7,10,3.1762356758117676
7,8,1,2.669785499572754
7,8,2,2.9670979976654053
7,8,3,3.1551401615142822
7,8,4,3.19077205657959
7,8,5,3.1366446018218994
7,8,6,3.2075631618499756
7,8,7,3.2056310176849365
7,8,8,3.1737351417541504
7,8,9,3.1175146102905273
7,8,10,3.203317880630493
7,9,1,2.6632933616638184
7,9,2,2.965999126434326
7,9,3,3.0714757442474365
7,9,4,3.200568675994873
7,9,5,3.2004804611206055
7,9,6,3.1935482025146484
7,9,7,3.1666572093963623
7,9,8,3.177793502807617
7,9,9,3.1010923385620117
7,9,10,3.208789110183716
7,10,1,2.673421859741211
7,10,2,2.985276937484741
7,10,3,3.1463475227355957
7,10,4,3.193704605102539
7,10,5,3.1698262691497803
7,10,6,3.1637892723083496
7,10,7,3.2178714275360107
7,10,8,3.1544322967529297
7,10,9,3.134799003601074
7,10,10,3.1542837619781494
